"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","5579","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[2:81] Cash transaction Kafka event has correct schema",""
"passed","","","3807","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[5:193] Non-existent transaction returns null from Kafka",""
"passed","","","368","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[5.4:218] STORE_CARD card payment processed correctly",""
"passed","","","7179","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[1:33] Cash sale publishes event to pos-transactions topic",""
"passed","","","16","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[5.3:217] AMEX card payment processed correctly",""
"passed","","","22","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[4.1:184] Cash sale works across different stores",""
"passed","","","15","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[5.1:215] VISA card payment processed correctly",""
"passed","","","21","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[5.2:216] MASTERCARD card payment processed correctly",""
"passed","","","5546","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[4:152] Declined card payment returns 402 and event published",""
"passed","","","22","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[4.2:185] Cash sale works across different stores",""
"passed","","","5591","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[3:127] Cash transaction total amount must be positive",""
"passed","","","24","","com.demo.KarateRunner","","karate/pos/pos-cash-transaction","","[4.3:186] Cash sale works across different stores",""
"passed","","","5710","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[1:26] VISA card payment approved and event published to Kafka",""
"passed","","","5553","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[3:107] Payment event schema validation",""
"passed","","","5550","","com.demo.KarateRunner","","karate/pos/pos-card-payment","","[2:71] Debit card payment with cash back",""
